decimal_year,model_2020_ppm,model_2010_ppm,model_2000_ppm,model_1990_ppm,model_1980_ppm,model_1970_ppm,model_1960_ppm
1958.000000,313.928702,313.753848,313.821389,314.131298,314.419468,314.899511,316.112447
1958.083333,313.998974,313.825644,313.892854,314.198801,314.485289,314.962496,316.080632
1958.166667,314.069376,313.897573,313.964450,314.266436,314.551230,315.025512,316.048775
1958.250000,314.139909,313.969635,314.036179,314.334205,314.617289,315.088558,316.016877
1958.333333,314.210573,314.041830,314.108039,314.402109,314.683469,315.151634,315.984936
1958.416667,314.281368,314.114158,314.180032,314.470146,314.749768,315.214739,315.952954
1958.500000,314.352295,314.186620,314.252158,314.538318,314.816187,315.277873,315.920930
1958.583333,314.423353,314.259215,314.324416,314.606625,314.882726,315.341037,315.888864
1958.666667,314.494544,314.331944,314.396807,314.675068,314.949386,315.404229,315.856756
1958.750000,314.565866,314.404807,314.469330,314.743645,315.016165,315.467449,315.824607
1958.833333,314.637320,314.477803,314.541987,314.812358,315.083066,315.530698,315.792417
1958.916667,314.708907,314.550934,314.614777,314.881207,315.150088,315.593974,315.760185
1959.000000,314.780627,314.624199,314.687701,314.950192,315.217230,315.657278,315.727911
1959.083333,314.852479,314.697599,314.760758,315.019314,315.284494,315.720609,315.695597
1959.166667,314.924464,314.771133,314.833949,315.088572,315.351880,315.783967,315.663241
1959.250000,314.996582,314.844802,314.907273,315.157967,315.419387,315.847352,315.630844
1959.333333,315.068833,314.918606,314.980732,315.227500,315.487016,315.910763,315.598406
1959.416667,315.141218,314.992545,315.054325,315.297170,315.554766,315.974200,315.565928
1959.500000,315.213737,315.066619,315.128052,315.366977,315.622640,316.037663,315.533408
1959.583333,315.286389,315.140829,315.201914,315.436923,315.690635,316.101151,315.500847
1959.666667,315.359175,315.215174,315.275911,315.507007,315.758753,316.164664,315.468246
1959.750000,315.432096,315.289655,315.350042,315.577230,315.826994,316.228203,315.435604
1959.833333,315.505151,315.364272,315.424308,315.647592,315.895358,316.291765,315.402922
1959.916667,315.578340,315.439025,315.498710,315.718093,315.963846,316.355352,315.370199
1960.000000,315.651664,315.513915,315.573247,315.788733,316.032456,316.418964,315.337435
1960.083333,315.725123,315.588940,315.647919,315.859513,316.101191,316.482598,315.304632
1960.166667,315.798717,315.664102,315.722727,315.930433,316.170049,316.546256,315.271788
1960.250000,315.872447,315.739401,315.797671,316.001493,316.239031,316.609938,315.238904
1960.333333,315.946312,315.814837,315.872751,316.072694,316.308137,316.673642,315.205979
1960.416667,316.020312,315.890409,315.947967,316.144035,316.377367,316.737368,315.173015
1960.500000,316.094448,315.966119,316.023319,316.215518,316.446722,316.801117,315.140011
1960.583333,316.168721,316.041966,316.098807,316.287142,316.516202,316.864888,315.106967
1960.666667,316.243129,316.117950,316.174432,316.358908,316.585807,316.928680,315.073884
1960.750000,316.317674,316.194072,316.250194,316.430815,316.655537,316.992493,315.040760
1960.833333,316.392355,316.270332,316.326093,316.502865,316.725393,317.056328,315.007597
1960.916667,316.467174,316.346730,316.402129,316.575057,316.795373,317.120183,314.974395
