decimal_year,model_2020_ppm,model_2010_ppm,model_2000_ppm,model_1990_ppm,model_1980_ppm,model_1970_ppm,model_1960_ppm
1961.000000,316.542129,316.423266,316.478302,316.647393,316.865480,317.184059,314.941153
1961.083333,316.617221,316.499940,316.554612,316.719871,316.935713,317.247955,314.907872
1961.166667,316.692450,316.576752,316.631060,316.792492,317.006071,317.311870,314.874552
1961.250000,316.767817,316.653703,316.707646,316.865257,317.076556,317.375805,314.841192
1961.333333,316.843321,316.730792,316.784369,316.938166,317.147168,317.439759,314.807794
1961.416667,316.918964,316.808021,316.861231,317.011220,317.217906,317.503732,314.774357
1961.500000,316.994744,316.885388,316.938230,317.084417,317.288772,317.567724,314.740880
1961.583333,317.070662,316.962894,317.015368,317.157760,317.359764,317.631734,314.707365
1961.666667,317.146719,317.040540,317.092644,317.231247,317.430884,317.695762,314.673812
1961.750000,317.222914,317.118325,317.170059,317.304880,317.502131,317.759807,314.640219
1961.833333,317.299248,317.196250,317.247613,317.378658,317.573506,317.823870,314.606589
1961.916667,317.375721,317.274315,317.325305,317.452583,317.645009,317.887950,314.572920
1962.000000,317.452333,317.352519,317.403137,317.526653,317.716640,317.952047,314.539212
1962.083333,317.529084,317.430863,317.481108,317.600871,317.788399,318.016160,314.505467
1962.166667,317.605975,317.509348,317.559218,317.675234,317.860287,318.080289,314.471683
1962.250000,317.683005,317.587973,317.637468,317.749745,317.932304,318.144435,314.437861
1962.333333,317.760175,317.666738,317.715857,317.824404,318.004449,318.208595,314.404001
1962.416667,317.837485,317.745644,317.794386,317.899210,318.076724,318.272771,314.370104
1962.500000,317.914935,317.824691,317.873055,317.974163,318.149128,318.336962,314.336169
1962.583333,317.992526,317.903879,317.951865,318.049266,318.221661,318.401167,314.302196
1962.666667,318.070257,317.983207,318.030814,318.124516,318.294325,318.465387,314.268186
1962.750000,318.148129,318.062677,318.109904,318.199916,318.367118,318.529621,314.234138
1962.833333,318.226141,318.142289,318.189135,318.275464,318.440041,318.593868,314.200053
1962.916667,318.304295,318.222042,318.268506,318.351162,318.513095,318.658129,314.165931
1963.000000,318.382590,318.301936,318.348018,318.427010,318.586279,318.722403,314.131771
1963.083333,318.461026,318.381973,318.427672,318.503008,318.659594,318.786689,314.097575
1963.166667,318.539604,318.462151,318.507466,318.579156,318.733039,318.850988,314.063342
1963.250000,318.618323,318.542471,318.587402,318.655454,318.806616,318.915299,314.029072
1963.333333,318.697185,318.622934,318.667479,318.731904,318.880324,318.979622,313.994765
1963.416667,318.776189,318.703539,318.747698,318.808505,318.954164,319.043957,313.960422
1963.500000,318.855335,318.784287,318.828058,318.885257,319.028136,319.108302,313.926042
1963.583333,318.934623,318.865177,318.908561,318.962161,319.102239,319.172659,313.891626
1963.666667,319.014054,318.946210,318.989206,319.039217,319.176475,319.237026,313.857173
1963.750000,319.093628,319.027386,319.069992,319.116425,319.250843,319.301404,313.822684
1963.833333,319.173345,319.108706,319.150922,319.193787,319.325343,319.365791,313.788160
1963.916667,319.253205,319.190168,319.231993,319.271301,319.399976,319.430188,313.753599
1964.000000,319.333209,319.271774,319.313208,319.348968,319.474743,319.494594,313.719002
1964.083333,319.413356,319.353523,319.394565,319.426789,319.549642,319.559010,313.684370
1964.166667,319.493647,319.435416,319.476065,319.504764,319.624675,319.623434,313.649702
1964.250000,319.574081,319.517453,319.557708,319.582894,319.699841,319.687866,313.614999
1964.333333,319.654660,319.599634,319.639495,319.661177,319.775141,319.752307,313.580260
1964.416667,319.735383,319.681959,319.721425,319.739616,319.850575,319.816755,313.545486
1964.500000,319.816251,319.764429,319.803498,319.818210,319.926144,319.881211,313.510677
1964.583333,319.897263,319.847042,319.885715,319.896959,320.001846,319.945674,313.475832
1964.666667,319.978420,319.929801,319.968076,319.975864,320.077683,320.010144,313.440953
1964.750000,320.059722,320.012704,320.050581,320.054924,320.153656,320.074620,313.406039
1964.833333,320.141169,320.095751,320.133230,320.134142,320.229763,320.139103,313.371090
1964.916667,320.222761,320.178944,320.216023,320.213516,320.306005,320.203591,313.336106
1965.000000,320.304499,320.262282,320.298961,320.293047,320.382383,320.268085,313.301088
1965.083333,320.386383,320.345765,320.382043,320.372735,320.458896,320.332584,313.266036
1965.166667,320.468412,320.429393,320.465270,320.452581,320.535545,320.397088,313.230949
1965.250000,320.550588,320.513167,320.548642,320.532584,320.612330,320.461597,313.195828
1965.333333,320.632909,320.597087,320.632158,320.612746,320.689252,320.526110,313.160674
1965.416667,320.715377,320.681152,320.715820,320.693067,320.766309,320.590628,313.125485
1965.500000,320.797992,320.765363,320.799627,320.773546,320.843504,320.655149,313.090262
1965.583333,320.880753,320.849721,320.883580,320.854185,320.920835,320.719673,313.055006
1965.666667,320.963662,320.934224,320.967678,320.934983,320.998304,320.784200,313.019716
1965.750000,321.046717,321.018874,321.051921,321.015940,321.075910,320.848730,312.984393
1965.833333,321.129920,321.103670,321.136311,321.097058,321.153653,320.913263,312.949036
1965.916667,321.213270,321.188613,321.220846,321.178337,321.231534,320.977798,312.913647
1966.000000,321.296767,321.273703,321.305528,321.259776,321.309553,321.042334,312.878224
1966.083333,321.380413,321.358939,321.390356,321.341376,321.387709,321.106872,312.842768
1966.166667,321.464206,321.444323,321.475330,321.423137,321.466005,321.171411,312.807279
1966.250000,321.548148,321.529854,321.560450,321.505061,321.544439,321.235951,312.771758
1966.333333,321.632238,321.615532,321.645718,321.587146,321.623011,321.300492,312.736204
1966.416667,321.716476,321.701357,321.731132,321.669393,321.701723,321.365033,312.700618
1966.500000,321.800863,321.787330,321.816693,321.751804,321.780573,321.429574,312.664999
1966.583333,321.885399,321.873451,321.902401,321.834377,321.859563,321.494114,312.629348
1966.666667,321.970084,321.959719,321.988256,321.917113,321.938693,321.558654,312.593666
1966.750000,322.054918,322.046135,322.074259,322.000013,322.017962,321.623193,312.557951
1966.833333,322.139901,322.132700,322.160409,322.083078,322.097371,321.687730,312.522204
1966.916667,322.225034,322.219412,322.246706,322.166306,322.176921,321.752266,312.486425
1967.000000,322.310317,322.306273,322.333152,322.249699,322.256611,321.816799,312.450616
1967.083333,322.395750,322.393283,322.419745,322.333257,322.336442,321.881331,312.414774
1967.166667,322.481332,322.480441,322.506486,322.416980,322.416413,321.945860,312.378901
1967.250000,322.567065,322.567747,322.593376,322.500869,322.496525,322.010386,312.342997
1967.333333,322.652948,322.655203,322.680413,322.584923,322.576779,322.074909,312.307063
1967.416667,322.738982,322.742807,322.767599,322.669144,322.657174,322.139428,312.271097
1967.500000,322.825167,322.830561,322.854934,322.753532,322.737711,322.203943,312.235100
1967.583333,322.911502,322.918464,322.942417,322.838086,322.818390,322.268455,312.199073
1967.666667,322.997989,323.006516,323.030049,322.922808,322.899211,322.332961,312.163015
1967.750000,323.084627,323.094718,323.117830,323.007697,322.980174,322.397463,312.126927
1967.833333,323.171416,323.183069,323.205760,323.092754,323.061280,322.461960,312.090808
1967.916667,323.258357,323.271570,323.293840,323.177979,323.142528,322.526452,312.054660
1968.000000,323.345449,323.360221,323.382068,323.263373,323.223920,322.590937,312.018481
1968.083333,323.432694,323.449021,323.470446,323.348936,323.305454,322.655417,311.982273
1968.166667,323.520091,323.537972,323.558974,323.434668,323.387132,322.719891,311.946034
1968.250000,323.607640,323.627074,323.647651,323.520569,323.468954,322.784357,311.909767
1968.333333,323.695341,323.716325,323.736479,323.606640,323.550919,322.848817,311.873470
1968.416667,323.783195,323.805727,323.825456,323.692882,323.633028,322.913269,311.837143
1968.500000,323.871202,323.895280,323.914583,323.779294,323.715282,322.977714,311.800787
1968.583333,323.959362,323.984983,324.003861,323.865877,323.797680,323.042151,311.764403
1968.666667,324.047675,324.074837,324.093289,323.952631,323.880223,323.106580,311.727989
1968.750000,324.136141,324.164842,324.182867,324.039557,323.962910,323.171000,311.691547
1968.833333,324.224761,324.254998,324.272596,324.126655,324.045743,323.235411,311.655076
1968.916667,324.313534,324.345306,324.362475,324.213925,324.128721,323.299813,311.618577
1969.000000,324.402461,324.435764,324.452506,324.301367,324.211844,323.364206,311.582049
1969.083333,324.491543,324.526374,324.542688,324.388983,324.295113,323.428589,311.545493
1969.166667,324.580778,324.617136,324.633020,324.476772,324.378528,323.492962,311.508909
1969.250000,324.670168,324.708049,324.723504,324.564734,324.462090,323.557324,311.472297
1969.333333,324.759712,324.799115,324.814139,324.652871,324.545797,323.621676,311.435658
1969.416667,324.849411,324.890332,324.904926,324.741181,324.629651,323.686016,311.398990
1969.500000,324.939264,324.981701,324.995864,324.829667,324.713652,323.750345,311.362296
1969.583333,325.029273,325.073222,325.086954,324.918327,324.797800,323.814663,311.325573
1969.666667,325.119437,325.164895,325.178196,325.007163,324.882096,323.878969,311.288824
1969.750000,325.209756,325.256721,325.269590,325.096174,324.966538,323.943262,311.252048
1969.833333,325.300230,325.348700,325.361136,325.185362,325.051129,324.007543,311.215245
1969.916667,325.390860,325.440831,325.452834,325.274725,325.135867,324.071811,311.178415
1970.000000,325.481647,325.533114,325.544684,325.364266,325.220753,324.136065,311.141558
1970.083333,325.572589,325.625551,325.636687,325.453984,325.305788,324.200306,311.104675
1970.166667,325.663687,325.718140,325.728843,325.543879,325.390971,324.264534,311.067766
1970.250000,325.754941,325.810883,325.821151,325.633952,325.476303,324.328747,311.030830
1970.333333,325.846352,325.903778,325.913612,325.724203,325.561784,324.392946,310.993869
1970.416667,325.937920,325.996827,326.006226,325.814632,325.647414,324.457130,310.956881
1970.500000,326.029644,326.090029,326.098993,325.905240,325.733193,324.521299,310.919868
1970.583333,326.121526,326.183385,326.191913,325.996028,325.819122,324.585452,310.882830
1970.666667,326.213564,326.276895,326.284986,326.086995,325.905201,324.649590,310.845766
1970.750000,326.305760,326.370558,326.378213,326.178142,325.991430,324.713712,310.808676
1970.833333,326.398114,326.464375,326.471593,326.269469,326.077809,324.777818,310.771562
1970.916667,326.490624,326.558346,326.565127,326.360977,326.164339,324.841907,310.734422
1971.000000,326.583293,326.652470,326.658814,326.452666,326.251019,324.905979,310.697258
1971.083333,326.676120,326.746750,326.752656,326.544536,326.337851,324.970034,310.660069
1971.166667,326.769105,326.841183,326.846651,326.636588,326.424833,325.034072,310.622856
1971.250000,326.862248,326.935771,326.940800,326.728822,326.511967,325.098091,310.585618
1971.333333,326.955550,327.030513,327.035104,326.821238,326.599252,325.162093,310.548356
1971.416667,327.049010,327.125409,327.129562,326.913838,326.686689,325.226076,310.511070
1971.500000,327.142629,327.220461,327.224174,327.006620,326.774278,325.290041,310.473760
1971.583333,327.236407,327.315667,327.318941,327.099586,326.862020,325.353986,310.436426
1971.666667,327.330344,327.411028,327.413862,327.192735,326.949914,325.417912,310.399069
1971.750000,327.424440,327.506544,327.508938,327.286069,327.037960,325.481819,310.361688
1971.833333,327.518695,327.602215,327.604169,327.379587,327.126160,325.545705,310.324284
1971.916667,327.613111,327.698041,327.699555,327.473291,327.214512,325.609571,310.286857
1972.000000,327.707685,327.794023,327.795096,327.567180,327.303018,325.673417,310.249407
1972.083333,327.802420,327.890160,327.890792,327.661254,327.391677,325.737242,310.211934
1972.166667,327.897315,327.986452,327.986644,327.755514,327.480490,325.801046,310.174439
1972.250000,327.992370,328.082900,328.082651,327.849961,327.569457,325.864828,310.136921
1972.333333,328.087586,328.179504,328.178813,327.944595,327.658579,325.928589,310.099381
1972.416667,328.182962,328.276263,328.275131,328.039416,327.747855,325.992328,310.061818
1972.500000,328.278498,328.373179,328.371604,328.134424,327.837285,326.056044,310.024234
1972.583333,328.374196,328.470250,328.468234,328.229620,327.926870,326.119738,309.986627
1972.666667,328.470054,328.567477,328.565019,328.325005,328.016611,326.183408,309.948999
1972.750000,328.566074,328.664861,328.661960,328.420578,328.106506,326.247056,309.911350
1972.833333,328.662255,328.762401,328.759058,328.516340,328.196557,326.310680,309.873679
1972.916667,328.758597,328.860097,328.856311,328.612292,328.286764,326.374280,309.835987
1973.000000,328.855101,328.957949,328.953721,328.708433,328.377127,326.437856,309.798273
1973.083333,328.951767,329.055958,329.051288,328.804764,328.467646,326.501408,309.760539
1973.166667,329.048595,329.154124,329.149010,328.901286,328.558322,326.564935,309.722785
1973.250000,329.145585,329.252447,329.246890,328.997999,328.649154,326.628436,309.685009
1973.333333,329.242737,329.350926,329.344926,329.094903,328.740143,326.691913,309.647213
1973.416667,329.340051,329.449562,329.443119,329.191999,328.831289,326.755364,309.609398
1973.500000,329.437528,329.548356,329.541469,329.289287,328.922593,326.818789,309.571561
1973.583333,329.535168,329.647306,329.639976,329.386767,329.014054,326.882188,309.533706
1973.666667,329.632971,329.746413,329.738640,329.484440,329.105672,326.945561,309.495830
1973.750000,329.730937,329.845678,329.837461,329.582306,329.197449,327.008906,309.457935
1973.833333,329.829065,329.945100,329.936440,329.680366,329.289384,327.072225,309.420020
1973.916667,329.927357,330.044680,330.035576,329.778620,329.381477,327.135516,309.382086
1974.000000,330.025813,330.144417,330.134869,329.877068,329.473729,327.198780,309.344133
1974.083333,330.124432,330.244311,330.234320,329.975710,329.566140,327.262016,309.306161
1974.166667,330.223215,330.344364,330.333929,330.074548,329.658710,327.325223,309.268170
1974.250000,330.322162,330.444574,330.433695,330.173582,329.751439,327.388402,309.230161
1974.333333,330.421273,330.544942,330.533619,330.272811,329.844328,327.451553,309.192134
1974.416667,330.520549,330.645468,330.633702,330.372236,329.937376,327.514674,309.154088
1974.500000,330.619988,330.746152,330.733942,330.471858,330.030585,327.577766,309.116024
1974.583333,330.719592,330.846994,330.834340,330.571677,330.123954,327.640828,309.077942
1974.666667,330.819361,330.947994,330.934897,330.671693,330.217483,327.703860,309.039842
1974.750000,330.919295,331.049153,331.035612,330.771908,330.311173,327.766862,309.001725
1974.833333,331.019393,331.150470,331.136485,330.872320,330.405023,327.829833,308.963591
1974.916667,331.119657,331.251945,331.237517,330.972931,330.499035,327.892774,308.925439
1975.000000,331.220086,331.353579,331.338707,331.073741,330.593208,327.955684,308.887270
1975.083333,331.320681,331.455371,331.440056,331.174750,330.687543,328.018562,308.849084
1975.166667,331.421441,331.557322,331.541564,331.275960,330.782039,328.081408,308.810882
1975.250000,331.522366,331.659432,331.643231,331.377369,330.876697,328.144223,308.772663
1975.333333,331.623458,331.761701,331.745057,331.478979,330.971518,328.207005,308.734427
1975.416667,331.724716,331.864128,331.847041,331.580790,331.066501,328.269755,308.696176
1975.500000,331.826139,331.966715,331.949185,331.682802,331.161647,328.332473,308.657908
1975.583333,331.927729,332.069460,332.051488,331.785016,331.256956,328.395157,308.619625
1975.666667,332.029486,332.172365,332.153950,331.887432,331.352427,328.457808,308.581326
1975.750000,332.131409,332.275429,332.256571,331.990050,331.448062,328.520425,308.543011
1975.833333,332.233499,332.378652,332.359352,332.092872,331.543861,328.583008,308.504681
1975.916667,332.335755,332.482035,332.462292,332.195897,331.639824,328.645557,308.466336
1976.000000,332.438179,332.585576,332.565392,332.299125,331.735950,328.708072,308.427976
1976.083333,332.540770,332.689278,332.668652,332.402558,331.832241,328.770552,308.389601
1976.166667,332.643528,332.793138,332.772071,332.506196,331.928696,328.832997,308.351211
1976.250000,332.746454,332.897159,332.875650,332.610038,332.025316,328.895407,308.312807
1976.333333,332.849547,333.001339,332.979389,332.714086,332.122101,328.957781,308.274388
1976.416667,332.952808,333.105679,333.083288,332.818339,332.219051,329.020119,308.235956
1976.500000,333.056237,333.210178,333.187347,332.922799,332.316167,329.082421,308.197509
1976.583333,333.159833,333.314838,333.291566,333.027465,332.413448,329.144687,308.159049
1976.666667,333.263598,333.419657,333.395945,333.132339,332.510895,329.206917,308.120575
1976.750000,333.367532,333.524637,333.500485,333.237419,332.608508,329.269109,308.082088
1976.833333,333.471633,333.629776,333.605185,333.342708,332.706287,329.331264,308.043588
1976.916667,333.575903,333.735076,333.710045,333.448204,332.804233,329.393382,308.005074
1977.000000,333.680342,333.840536,333.815066,333.553910,332.902345,329.455462,307.966548
1977.083333,333.784950,333.946156,333.920247,333.659824,333.000625,329.517504,307.928009
1977.166667,333.889727,334.051936,334.025589,333.765948,333.099071,329.579508,307.889457
1977.250000,333.994673,334.157877,334.131092,333.872282,333.197686,329.641474,307.850893
1977.333333,334.099788,334.263978,334.236755,333.978826,333.296467,329.703400,307.812317
1977.416667,334.205072,334.370240,334.342579,334.085581,333.395417,329.765288,307.773728
1977.500000,334.310526,334.476662,334.448565,334.192547,333.494535,329.827136,307.735128
1977.583333,334.416150,334.583245,334.554711,334.299724,333.593821,329.888945,307.696517
1977.666667,334.521944,334.689988,334.661018,334.407114,333.693276,329.950714,307.657893
1977.750000,334.627907,334.796892,334.767486,334.514716,333.792899,330.012442,307.619259
1977.833333,334.734041,334.903957,334.874115,334.622530,333.892692,330.074131,307.580613
1977.916667,334.840344,335.011183,334.980906,334.730558,333.992653,330.135779,307.541957
1978.000000,334.946818,335.118569,335.087858,334.838800,334.092784,330.197386,307.503290
1978.083333,335.053463,335.226117,335.194971,334.947255,334.193085,330.258951,307.464612
1978.166667,335.160278,335.333825,335.302246,335.055925,334.293556,330.320476,307.425924
1978.250000,335.267264,335.441695,335.409682,335.164810,334.394197,330.381959,307.387225
1978.333333,335.374420,335.549725,335.517279,335.273911,334.495009,330.443399,307.348517
1978.416667,335.481748,335.657917,335.625038,335.383227,334.595991,330.504798,307.309798
1978.500000,335.589247,335.766269,335.732959,335.492759,334.697144,330.566154,307.271070
1978.583333,335.696917,335.874783,335.841042,335.602508,334.798467,330.627468,307.232333
1978.666667,335.804758,335.983459,335.949286,335.712474,334.899963,330.688739,307.193586
1978.750000,335.912771,336.092295,336.057692,335.822657,335.001630,330.749966,307.154830
1978.833333,336.020956,336.201293,336.166260,335.933059,335.103468,330.811150,307.116065
1978.916667,336.129312,336.310452,336.274990,336.043679,335.205479,330.872290,307.077292
1979.000000,336.237840,336.419773,336.383882,336.154517,335.307661,330.933387,307.038510
1979.083333,336.346540,336.529255,336.492936,336.265575,335.410017,330.994439,306.999719
1979.166667,336.455413,336.638899,336.602152,336.376852,335.512544,331.055447,306.960920
1979.250000,336.564457,336.748704,336.711531,336.488349,335.615245,331.116410,306.922113
1979.333333,336.673674,336.858671,336.821071,336.600067,335.718119,331.177328,306.883299
1979.416667,336.783064,336.968800,336.930774,336.712006,335.821166,331.238201,306.844476
1979.500000,336.892626,337.079090,337.040639,336.824167,335.924387,331.299029,306.805647
1979.583333,337.002361,337.189542,337.150666,336.936549,336.027782,331.359811,306.766809
1979.666667,337.112269,337.300156,337.260856,337.049153,336.131351,331.420547,306.727965
1979.750000,337.222350,337.410931,337.371208,337.161980,336.235094,331.481237,306.689114
1979.833333,337.332604,337.521868,337.481722,337.275030,336.339011,331.541880,306.650256
1979.916667,337.443031,337.632967,337.592399,337.388304,336.443104,331.602477,306.611391
1980.000000,337.553632,337.744228,337.703239,337.501802,336.547371,331.663027,306.572520
1980.083333,337.664406,337.855651,337.814242,337.615524,336.651814,331.723530,306.533643
1980.166667,337.775353,337.967236,337.925407,337.729471,336.756432,331.783985,306.494760
1980.250000,337.886475,338.078983,338.036734,337.843644,336.861225,331.844393,306.455871
1980.333333,337.997770,338.190892,338.148225,337.958042,336.966195,331.904753,306.416976
1980.416667,338.109240,338.302963,338.259878,338.072666,337.071340,331.965065,306.378076
1980.500000,338.220883,338.415196,338.371694,338.187518,337.176662,332.025329,306.339171
1980.583333,338.332701,338.527591,338.483673,338.302596,337.282161,332.085544,306.300260
1980.666667,338.444693,338.640148,338.595815,338.417902,337.387836,332.145710,306.261345
1980.750000,338.556859,338.752867,338.708120,338.533436,337.493689,332.205827,306.222425
1980.833333,338.669200,338.865749,338.820588,338.649199,337.599718,332.265895,306.183500
1980.916667,338.781716,338.978793,338.933218,338.765190,337.705926,332.325914,306.144571
1981.000000,338.894406,339.091999,339.046012,338.881411,337.812310,332.385883,306.105638
1981.083333,339.007272,339.205367,339.158969,338.997862,337.918873,332.445802,306.066700
1981.166667,339.120312,339.318897,339.272089,339.114543,338.025615,332.505671,306.027759
1981.250000,339.233528,339.432590,339.385373,339.231455,338.132534,332.565489,305.988815
1981.333333,339.346918,339.546445,339.498819,339.348598,338.239632,332.625257,305.949866
1981.416667,339.460484,339.660462,339.612429,339.465972,338.346909,332.684974,305.910915
1981.500000,339.574226,339.774642,339.726202,339.583579,338.454366,332.744639,305.871961
1981.583333,339.688143,339.888984,339.840138,339.701419,338.562001,332.804254,305.833003
1981.666667,339.802236,340.003488,339.954237,339.819491,338.669816,332.863817,305.794043
1981.750000,339.916505,340.118155,340.068500,339.937797,338.777811,332.923328,305.755081
1981.833333,340.030949,340.232984,340.182926,340.056337,338.885986,332.982787,305.716116
1981.916667,340.145570,340.347976,340.297516,340.175111,338.994342,333.042194,305.677149
1982.000000,340.260367,340.463130,340.412269,340.294121,339.102878,333.101549,305.638180
1982.083333,340.375340,340.578446,340.527186,340.413365,339.211594,333.160851,305.599209
1982.166667,340.490489,340.693925,340.642265,340.532846,339.320492,333.220100,305.560236
1982.250000,340.605815,340.809567,340.757509,340.652563,339.429570,333.279296,305.521263
1982.333333,340.721317,340.925371,340.872916,340.772516,339.538831,333.338439,305.482288
1982.416667,340.836996,341.041337,340.988486,340.892707,339.648272,333.397528,305.443312
1982.500000,340.952852,341.157466,341.104220,341.013135,339.757896,333.456564,305.404335
1982.583333,341.068884,341.273757,341.220118,341.133802,339.867702,333.515545,305.365357
1982.666667,341.185094,341.390211,341.336179,341.254707,339.977690,333.574473,305.326379
1982.750000,341.301481,341.506827,341.452404,341.375852,340.087861,333.633346,305.287401
1982.833333,341.418045,341.623606,341.568792,341.497236,340.198215,333.692165,305.248422
1982.916667,341.534786,341.740547,341.685344,341.618860,340.308752,333.750929,305.209444
1983.000000,341.651704,341.857651,341.802060,341.740725,340.419472,333.809637,305.170466
1983.083333,341.768800,341.974917,341.918939,341.862830,340.530375,333.868291,305.131488
1983.166667,341.886074,342.092346,342.035982,341.985177,340.641462,333.926889,305.092511
1983.250000,342.003525,342.209937,342.153189,342.107766,340.752734,333.985432,305.053535
1983.333333,342.121154,342.327691,342.270560,342.230598,340.864189,334.043919,305.014560
1983.416667,342.238961,342.445608,342.388094,342.353672,340.975829,334.102349,304.975586
1983.500000,342.356946,342.563686,342.505792,342.476990,341.087654,334.160724,304.936613
1983.583333,342.475109,342.681928,342.623653,342.600552,341.199663,334.219042,304.897642
1983.666667,342.593450,342.800331,342.741679,342.724358,341.311858,334.277304,304.858673
1983.750000,342.711969,342.918898,342.859868,342.848409,341.424238,334.335508,304.819706
1983.833333,342.830667,343.037626,342.978221,342.972705,341.536803,334.393656,304.780740
1983.916667,342.949543,343.156517,343.096737,343.097248,341.649555,334.451746,304.741778
1984.000000,343.068598,343.275571,343.215418,343.222036,341.762492,334.509779,304.702817
1984.083333,343.187831,343.394787,343.334262,343.347071,341.875616,334.567755,304.663859
1984.166667,343.307243,343.514166,343.453270,343.472354,341.988926,334.625672,304.624904
1984.250000,343.426834,343.633706,343.572441,343.597884,342.102423,334.683532,304.585953
1984.333333,343.546604,343.753410,343.691777,343.723663,342.216108,334.741333,304.547004
1984.416667,343.666552,343.873275,343.811276,343.849690,342.329979,334.799076,304.508059
1984.500000,343.786680,343.993303,343.930939,343.975967,342.444038,334.856760,304.469117
1984.583333,343.906987,344.113494,344.050766,344.102493,342.558284,334.914386,304.430179
1984.666667,344.027474,344.233846,344.170757,344.229269,342.672719,334.971952,304.391246
1984.750000,344.148139,344.354361,344.290911,344.356297,342.787341,335.029460,304.352316
1984.833333,344.268984,344.475039,344.411229,344.483575,342.902152,335.086908,304.313390
1984.916667,344.390009,344.595878,344.531711,344.611105,343.017152,335.144296,304.274470
1985.000000,344.511213,344.716880,344.652356,344.738888,343.132340,335.201625,304.235554
1985.083333,344.632597,344.838044,344.773166,344.866923,343.247718,335.258894,304.196642
1985.166667,344.754161,344.959370,344.894139,344.995211,343.363284,335.316102,304.157736
1985.250000,344.875904,345.080859,345.015275,345.123754,343.479041,335.373251,304.118835
1985.333333,344.997828,345.202509,345.136576,345.252550,343.594987,335.430339,304.079940
1985.416667,345.119931,345.324322,345.258040,345.381601,343.711123,335.487366,304.041050
1985.500000,345.242215,345.446297,345.379668,345.510907,343.827449,335.544333,304.002166
1985.583333,345.364679,345.568434,345.501459,345.640469,343.943966,335.601238,303.963288
1985.666667,345.487323,345.690733,345.623414,345.770287,344.060674,335.658082,303.924416
1985.750000,345.610147,345.813194,345.745533,345.900362,344.177572,335.714865,303.885551
1985.833333,345.733152,345.935816,345.867816,346.030695,344.294662,335.771587,303.846692
1985.916667,345.856338,346.058601,345.990262,346.161284,344.411943,335.828246,303.807840
1986.000000,345.979703,346.181548,346.112871,346.292133,344.529416,335.884844,303.768994
1986.083333,346.103250,346.304657,346.235644,346.423240,344.647080,335.941380,303.730156
