model_year,n_observations,smax_ppm,b,c,ti,r2,rmse_ppm,residual_sd_ppm,paper_smax_ppm,paper_b,paper_c,paper_ti,paper_r2
2020,747,648.71639068,0.02734711,-55.83487080,2041.71032562,0.99243880,2.24550442,2.24682271,649,0.02730000,-55.80000000,2042,0.99200000
2010,622,572.67400407,0.02882555,-58.47785083,2028.68123155,0.98804693,2.19206892,2.19362513,573,0.02880000,-58.50000000,2029,0.98800000
2000,502,580.86595752,0.02854112,-57.94983441,2030.39807654,0.97953734,2.19205524,2.19395012,581,0.02850000,-58.00000000,2030,0.98000000
1990,382,inf,0.02370916,-42.89231632,,0.96246320,2.08304195,2.08511514,inf,0.02370000,,,0.96200000
1980,262,963.28025290,0.02414337,-50.20931491,2079.63156264,0.90569958,2.00482105,2.00815367,962,0.02410000,-50.20000000,2080,0.90600000
1970,142,362.70052794,0.03746001,-73.66128244,1966.39759735,0.64759599,1.93737215,1.94422759,363,0.03750000,-73.70000000,1966,0.64800000
1960,22,330.53036218,-0.03702655,73.41614975,1982.79750416,0.01486158,1.67462043,1.71311834,331,-0.03650000,72.30000000,1983,0.01400000
